"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00066141","MONA VALE GOLF CLUB, AS","-33.6795","151.3076","10.0","2017-12-31",,,,,,,,,,,,,,,"1.6",",,a",,,,,,
"ASN00067112","NORTH ROCKS MUIRFIELD GOLF CL, AS","-33.7672","151.0186","40.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00067033","RICHMOND RAAF, AS","-33.6022","150.7794","19.0","2017-12-31",,,,,,,,,,,,,,,"0.3",",,S","24.3","H,,S",,,,
"ASN00067110","SEVEN HILLS RADIO FM 103.2, AS","-33.7858","150.9236","80.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00068122","CAWDOR WOODBURN, AS","-34.1014","150.644","132.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00063077","SPRINGWOOD BOWLING CLUB, AS","-33.7065","150.5848","320.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,"28.2",",,a","18.5",",,a"
"ASN00068007","CAMDEN BROWNLOW HILL, AS","-34.0254","150.6455","61.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00066148","PEAKHURST GOLF CLUB, AS","-33.97","151.0638","20.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00067113","PENRITH LAKES AWS, AS","-33.7195","150.6783","24.7","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,"31.8",",,a","20.9",",,a"
"ASN00067114","ABBOTSBURY FAIRFIELD CITY FAR, AS","-33.8667","150.8611","75.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00068160","CAMPBELLTOWN KENTLYN GEORGES, AS","-34.0542","150.8772","115.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00066182","FRENCHS FOREST FRENCHS FOREST, AS","-33.7493","151.2334","158.0","2017-12-31",,,,,,,,,,,,,,,"1.0",",,a",,,,,,
"ASN00066062","SYDNEY OBSERVATORY HILL, AS","-33.8607","151.205","39.0","2017-12-31",,,,,,,,,,,,,,,"6.0",",,a",,,"25.3",",,a","20.1",",,a"
"ASN00067119","HORSLEY PARK EQUESTRIAN CENTRE, AS","-33.8511","150.8567","100.0","2017-12-31",,,,,,,,,,,,,,,"0.2",",,a",,,"28.7",",,a","19.7",",,a"
"ASN00066196","SYDNEY HARBOUR WEDDING CAKE W, AS","-33.8414","151.2633","6.0","2017-12-31",,,,,,,,,,,,,,,,,,,"23.6",",,a","21.1",",,a"
"ASN00067002","CASTLEREAGH CASTLEREAGH ROAD, AS","-33.6667","150.6696","15.0","2017-12-31",,,,,,,,,,,,,,,"6.6",",,a",,,,,,
"ASN00066034","ABBOTSFORD BLACKWALL POINT RD, AS","-33.8507","151.1295","15.0","2017-12-31",,,,,,,,,,,,,,,"24.0",",,a",,,,,,
"ASN00066078","LUCAS HEIGHTS ANSTO, AS","-34.0517","150.98","140.0","2017-12-31",,,,,,,,,,,,,,,"0.4",",,a",,,,,,
"ASN00068254","MOUNT ANNAN BOTANIC GARDEN, AS","-34.0673","150.7678","134.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00066036","MARRICKVILLE GOLF CLUB, AS","-33.9186","151.1402","6.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00066079","AVALON BEACH AVALON PALMGROV, AS","-33.637","151.3212","9.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00066156","MACQUARIE PARK WILLANDRA VILL, AS","-33.7791","151.1121","65.0","2017-12-31",,,,,,,,,,,,,,,"0.6",",,a",,,,,,
"ASN00068216","MENANGLE BRIDGE NEPEAN RIVER, AS","-34.1194","150.7402",,"2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00068257","CAMPBELLTOWN MOUNT ANNAN, AS","-34.0615","150.7735","112.0","2017-12-31",,,,,,,,,,,,,,,"0.2",",,a",,,"29.1",",,a","17.7",",,a"
"ASN00066037","SYDNEY AIRPORT AMO, AS","-33.9465","151.1731","6.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a","23.8","H,,S","27.1",",,a","20.8",",,a"
"ASN00066158","TURRAMURRA KISSING POINT ROAD, AS","-33.7366","151.1271","160.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00066190","INGLEBURN SACKVILLE STREET, AS","-34.0117","150.8647","60.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00067086","DURAL OLD NORTHERN ROAD, AS","-33.6867","151.025","216.0","2017-12-31",,,,,,,,,,,,,,,"0.6",",,a",,,,,,
"ASN00066073","RANDWICK RACECOURSE, AS","-33.9105","151.2276","25.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00066194","CANTERBURY RACECOURSE AWS, AS","-33.9057","151.1134","3.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,"27.5",",,a","20.9",",,a"
"ASN00067084","ORCHARD HILLS TREATMENT WORKS, AS","-33.802","150.7069","93.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
"ASN00068052","PICTON COUNCIL DEPOT, AS","-34.1685","150.6145","165.0","2017-12-31",,,,,,,,,,,,,,,"0.0",",,a",,,,,,
